formula,depth,n_nodes,sigma,noise_model,rmse,rmse_std,bits_of_precision,failure_rate,has_complex_intermediates
x+y,6,21,0.01,1_over_f,0.03850256902329901,0.023602879105041604,6.07474820519094,0.0,0
x+y,6,21,0.01,matched_pairs,0.030621777206845887,0.00803878336024717,6.405144900298611,0.0,0
x+y,6,21,0.02,additive_gaussian,0.09589628077801816,0.010737334043363704,4.758228052629886,0.0,0
x+y,6,21,0.02,multiplicative_gaussian,0.08716535646139618,0.029222905445164937,4.895948060490358,0.8753333333333333,0
x+y,6,21,0.02,1_over_f,0.08478230389839998,0.0582565786761889,4.935939744634889,0.0,0
x+y,6,21,0.02,matched_pairs,0.06154534139483511,0.01899100422597031,5.398053258095827,0.0,0
x+y,6,21,0.05,additive_gaussian,0.2660287100833561,0.05837142581789237,3.286192869663616,0.00016666666666666666,0
x+y,6,21,0.05,multiplicative_gaussian,0.22294185773178082,0.0716065674457204,3.541107310279634,0.87025,0
x+y,6,21,0.05,1_over_f,0.20871050002401514,0.20720877988441133,3.636271637957928,0.00016666666666666666,0
x+y,6,21,0.05,matched_pairs,0.16085167800724476,0.05637655925316204,4.012043834591311,0.0,0
x*y,8,35,0.0001,additive_gaussian,0.0006320784378293785,9.841278254384149e-05,12.390607347503988,0.35,1
x*y,8,35,0.0001,multiplicative_gaussian,0.0008099687720689229,0.00036000990437611924,12.032844661682587,0.9179166666666667,1
x*y,8,35,0.0001,1_over_f,0.0004536435841901185,0.00032754892088260085,12.869151693301468,0.35,1
x*y,8,35,0.0001,matched_pairs,0.0003338388241072486,5.132247832342503e-05,13.311559204318662,0.35,1
x*y,8,35,0.001,additive_gaussian,0.006291325650025588,0.00089349402981133,9.075418812987985,0.35,1
x*y,8,35,0.001,multiplicative_gaussian,0.008208468549099445,0.0037234049354636202,8.691669769460718,0.9225,1
x*y,8,35,0.001,1_over_f,0.0047029293125202395,0.0030786053037006513,9.49522320559632,0.35,1
x*y,8,35,0.001,matched_pairs,0.003341054010319057,0.000515550053643661,9.988479548527971,0.35,1
x*y,8,35,0.005,additive_gaussian,0.03178491085675752,0.004796324432143475,6.73851271632209,0.34991666666666665,1
x*y,8,35,0.005,multiplicative_gaussian,0.04192785441517127,0.01915465358129213,6.33894575393857,0.9215833333333333,1
x*y,8,35,0.005,1_over_f,0.02363883092352925,0.015634583402361908,7.165696070916528,0.35,1
x*y,8,35,0.005,matched_pairs,0.01669405940405392,0.0027350859827701694,7.667519948905877,0.35,1
x*y,8,35,0.01,additive_gaussian,0.06301781297610118,0.00953652475601356,5.751095071903334,0.34725,1
x*y,8,35,0.01,multiplicative_gaussian,0.0822411843272412,0.0371316187253934,5.36699371816857,0.9185,1
x*y,8,35,0.01,1_over_f,0.04233801082984577,0.030363166831758014,6.324901269928012,0.34833333333333333,1
x*y,8,35,0.01,matched_pairs,0.033436020025374186,0.005231087294725763,6.665451628635817,0.3496666666666667,1
x*y,8,35,0.02,additive_gaussian,0.12524140288167485,0.018541832058390984,4.760215089807547,0.34441666666666665,1
x*y,8,35,0.02,multiplicative_gaussian,0.1685508253213293,0.07846275594253278,4.331742972121518,0.9195833333333333,1
x*y,8,35,0.02,1_over_f,0.09747635071370535,0.0624833680879703,5.12180251766059,0.34575,1
